B. BRAUN MEDICAL INDUSTRIES SDN BHD (PENANG) (19051-M);04-6323100;BAYAN LEPAS FREE INDUSTRIAL ZONE BAYAN LEPAS;11900;PULAU PINANG
BAFE SDN BHD;(603) 8689 5448;4812-3A-55, CBD PERDANA 2 JALAN PERSIARAN FLORA CYBERJAYA;63000;SELANGOR
BANK RAKYAT;01 26129600;UNIT BIRO ADUAN AWAM, PERKHIDMATAN PELANGGAN MENARA 1, MENARA KEMBAR BANK RAKYAT, NO. 33, JALAN KUALA LUMPUR;50470;KUALA LUMPUR
BERRY NICE PETRO ENTERPRISE;;NO. 81, JALAN TUN PERAK, BANDAR MELAKA;75300;MELAKA
BERTAM PROPERTIES SDN BHD;04-5782020;NO 1, JALAN DAGANGAN 1 PUSAT BANDAR BERTAM PERDANA SEBERANG PERAI UTARA KEPALA BATAS;13200;PULAU PINANG
BIGSOFT INTERNATIONAL SDN BHD;+606-555 2000;UTEM HANG TUAH JAYA DURIAN TUNGGAL;76100;MELAKA
BLUEWAVE NETWORK TECHNOLOGIES;+60 3-2726 260;B-, 5, JALAN TERASEK 8, PLAZA MONT KIARA KUALA LUMPUR;50480;KUALA LUMPUR
BRILLIANCE INFORMATION SDN BHD;362755203;A-G-02 SME TECHNOPRENEUR CENTRE, 2260 JALAN USAHAWAN 1,CYBERJAYA;63000;SELANGOR
BRUNSFIELD INTERNATIONAL GROUP;+60 3-7726 9898;NO. 8 JALAN WAN KADIR 4 OFF JALAN DAMANSARA, TAMAN TUN DR. ISMAIL KUALA LUMPUR;60000;KUALA LUMPUR
BUMBU STUDIOS;173129716;62-1, PETALING JAYA CITY CENTRE,  JALAN PJS 5/30 PETALING JAYA;46150;SELANGOR
BUSINESS QUEST.COM SDN BHD;017-6670329;B-03-26, EMPIRE SOHO SUBANG JALAN SS16/1,SUBANG JAYA;47500;SELANGOR
C. M. SYSTEM ASSOCIATE;082-364007;185A, LORONG 4A6, TABUAN LARU,KUCHING;93350;SARAWAK
CALIFAMODA CONSULTANCY;376110945;SW-3A-30, COVA SQUARE, JALAN TEKNOLOGI, KOTA DAMANSARA SELANGOR;47810;SELANGOR
CARDIO VASCULAR SENTRAL KUALA LUMPUR (IT DEPARTMENT);;SUITE 2B-7-3, BLOCK 2B, LEVEL 7,PLAZA SENTRAL, JALAN STESEN SENTRAL 5, KUALA LUMPUR SENTRAL, KUALA LUMPUR;50470;KUALA LUMPUR
CARSEM MALAYSIA;05-312 3333;NO.10834, JALAN HAJI RAFFAR,KAMPUNG SUNGAI RAPAT,IPOH;31350;PERAK
CELESTICA  ELECTRONICS (M) SDN BHD;07-5962222;SENAI INTERNATIONAL AIRPORT, LOT 1,AIRPORT LOGISTIC PARK, SENAI INTERNATIONAL AIRPORT SENAI;81400;JOHOR
CELESTICA GBS MALAYSIA SDN. BHD;103853817;ONE PRECINCT LENGKOK MAYANG PASIRBAYAN LEPAS;11950;PULAU PINANG
CENTRAL CABLES BERHAD;06 - 232 5823;7862 BATU BERENDAM P.O. BOX 313BATU BERENDAM;75350;MELAKA
CODE TECHNOLOGY SOLUTION SDN BHD;017-9023784;BLOK B-4-3A-E5OSTIA BUSINESS AVENUE, SEK 14,BANDAR BARU BANGI;43650;SELANGOR
COMPUREX CORPORATION (M) SDN BHD;603-61409000;12, JALAN PJU 5/9,DATARAN SUNWAY,KOTA DAMANSARA;47816;SELANGOR
CTC INTEGRATED SOFTWARE ENGINEERING (M) SDN BHD;607-7720106;NO. 21, JALAN INTAN 2/2TAMAN INTAN KLUANG;86000;JOHOR
CTRM AERO COMPOSITES SDN BHD;06-3171007;COMPOSITES TECHNOLOGY CITY BATU BERENDAM BATU BERENDAM;75350;MELAKA
CYBER VILLAGE SDN BHD;03-77241377;T111 LEVEL 3, CENTREPOINT,3 LEBUH BANDAR UTAMAPETALING JAYA;47800;SELANGOR
CYBERSECURITY MALAYSIA;03 8992 6888;LEVEL 7, SAPURA@MINESNO 7, JALAN TASEK, THE MINES RESORT CITYSERI KEMBANGAN;43300;SELANGOR
DASAR JATI SDN. BHD;389275213;LOT NO A-08-1, PARAGON POINT,SEKSYEN 9, PUSAT BANDAR BARU BANGI,BANDAR BARU BANGI;43650;SELANGOR
DATUMCORP INTERNATIONAL SDN BHD;03-42176000;LOT 42, JALAN U-THANTTAMAN U-THANTKUALA LUMPUR;55000;KUALA LUMPUR
DEVICES WORLD SDN. BHD.;03-80758600;SUITE 2-21, MENARA KLHBANDAR PUCHONG JAYAPUCHONG;47170;SELANGOR
DIGITAL BLOWFISH SDN BHD;07-2340052;31, JALAN DUTA 2/3,NUSA DUTASKUDAI;81300;JOHOR
DIGNERSYS CLOUD BERHAD;601-300-22-2101;45 & 46, JALAN SETIA PRIMA SU13/S,SETIA AVENUE, SETIA ALAM,SHAH ALAM;40170;SELANGOR
DREAMZTECH IT SERVICES & SOLUTION;177852220;35A, JALAN MOLEK 2/4,TAMAN MOLEKJOHOR BAHRU;81100;JOHOR
DSI EBIZNESS SDN BHD;362764748;6-1,JALAN MARGOSA SD 10/4A,BANDAR SRI DAMANSARA;52200;KUALA LUMPUR
EASYPARCEL SDN BHD;N/A;1-5-10, SUNTECH @ PENANG CYBERCITY,LINTANG MAYANG PASIR 3BAYAN BARU;11950;PULAU PINANG
EBIZ NINJA ACADEMY;176873188;NO 51-2, JALAN PUTERI 2/3,BANDAR PUTERIPUCH0NG;47100;SELANGOR
ELITECOM ENTERPRISE;09-6978900;PTB234,JALAN HAJI JUSOHJERTEH;22000;TERENGGANU
ENJOY TV HOLDING SDN. BHD.;+6 03-90598888;LOT 1-026B & 1-026C, 1F, ENDAH PARADE,NO. 1 JALAN 1/149EBANDAR BARU SRI PETALING;57000;KUALA LUMPUR
